Date,Open,High,Low,Close,Volume
2022-01-03,6.90374,7.11743,6.87908,7.06811,85597.049446907
2022-01-04,7.07633,7.20783,6.98593,7.05167,83344.879745042
2022-01-05,7.12565,7.42974,7.06811,7.33112,247641.32869835
2022-01-07,7.24893,7.30646,7.10922,7.19962,44615.104607237
2022-01-10,7.19962,7.28181,6.82156,6.90374,65800.830619598
2022-01-11,6.98593,7.15031,6.98593,7.06811,37103.005342345
2022-01-12,7.16675,7.30646,7.05167,7.29003,83930.127517379
2022-01-13,7.30646,7.31468,7.23249,7.29003,68605.396347744
2022-01-14,7.23249,7.52015,7.00237,7.47906,112486.81195972
2022-01-17,7.52015,7.68452,7.38043,7.68452,81833.699426448
2022-01-18,7.79959,7.79959,7.53658,7.56124,168388.31643433
2022-01-19,7.39686,7.44618,7.11743,7.28181,153204.7260996
2022-01-20,7.28181,7.42152,7.16675,7.19962,49537.999590353
2022-01-21,7.16675,7.30646,7.01881,7.28181,98027.176769574
2022-01-24,7.27359,7.51193,6.59143,6.73937,213139.69495114
2022-01-25,6.74759,7.10922,6.74759,6.97771,109857.45554388
2022-01-26,7.05167,7.13387,6.9284,7.09278,47345.449723924
2022-01-27,7.06811,7.09278,6.99415,7.02702,26749.838409244
2022-01-28,7.00237,7.09278,6.93662,7.00237,29547.103749377
2022-01-31,7.01881,7.4544,7.01881,7.40508,153730.35403651
2022-02-01,7.47906,7.64343,7.47906,7.60233,69200.377970766
2022-02-02,7.64343,7.78315,7.48727,7.7174,94185.955943648
2022-02-03,7.70096,7.7174,7.47906,7.59411,45317.158587777
2022-02-04,7.62699,7.62699,7.49549,7.59411,58041.734893615
2022-02-07,7.62699,7.62699,7.39686,7.49549,52118.686752782
2022-02-08,7.56124,7.60233,7.17497,7.52015,59905.76729948
2022-02-09,7.51193,7.52015,7.39686,7.42152,54891.617466208
2022-02-10,7.42152,7.52015,7.4133,7.52015,32674.10328141
2022-02-11,7.52015,7.59411,7.47906,7.56124,35602.77560577
2022-02-14,7.51193,7.51193,7.15031,7.38865,154016.28590034
2022-02-15,7.38865,7.55302,7.31468,7.47084,62265.009358863
2022-02-16,7.50371,7.53658,7.4544,7.52015,35040.645728806
2022-02-17,7.52015,7.52015,7.26537,7.26537,71195.817360857
2022-02-18,7.52015,7.56124,7.33934,7.38865,132242.87865297
2022-02-21,7.31468,7.43796,7.02702,7.15031,93690.746290132
2022-02-22,7.01881,7.38043,6.98593,7.16675,52751.387047201
2022-02-23,7.24071,7.26537,7.06811,7.06811,25704.666192116
2022-02-24,6.64075,6.76402,6.24624,6.51746,299421.76413989
2022-02-25,6.62431,6.94483,6.61609,6.70649,88713.098396921
2022-02-28,6.86264,7.23249,6.73937,7.06811,70290.569247304
2022-03-01,7.23249,7.23249,6.73937,6.7969,116169.85771204
2022-03-02,6.90374,6.96127,6.76402,6.90374,64324.935509732
2022-03-03,6.90374,7.06811,6.82156,6.90374,47611.913886381
2022-03-04,6.82978,6.98593,6.6654,6.68184,61873.221868858
2022-03-07,6.68184,6.78868,6.41061,6.73937,112339.58746814
2022-03-08,6.73937,6.82156,6.62431,6.73115,38282.018006369
2022-03-09,6.73937,7.02702,6.73937,6.90374,48458.758895834
2022-03-10,7.01881,7.26537,7.01881,7.17497,98309.458439391
2022-03-11,7.30646,7.31468,7.15853,7.24893,45217.386618272
2022-03-14,7.28181,7.28181,7.07633,7.24893,33569.617544281
2022-03-15,7.23249,7.23249,7.00237,7.07633,21601.848129074
2022-03-16,7.16675,7.29003,7.13387,7.27359,45177.234484203
2022-03-17,7.27359,7.29003,7.10922,7.27359,41110.918361223
2022-03-18,7.25715,7.56124,7.19962,7.52836,124276.93859996
2022-03-21,7.59411,7.97218,7.59411,7.80781,161521.08477722
2022-03-22,7.85711,7.88177,7.74206,7.83247,125609.25941224
2022-03-23,7.90643,7.93109,7.31468,7.52836,234185.49685993
2022-03-24,7.59411,7.67631,7.42152,7.58589,59271.850273726
2022-03-25,7.64343,7.64343,7.43796,7.43796,43248.715317559
2022-03-28,7.5448,7.91465,7.47906,7.88177,108057.90989879
2022-03-29,7.91465,8.08724,7.89821,7.97218,74746.239397618
2022-03-30,8.00506,8.13655,7.90643,8.12011,70723.725602714
