Date,Open,High,Low,Close,Volume
2022-01-03,596.052,609.936,585.872,592.35,991.84588852446
2022-01-04,593.275,599.754,586.797,596.052,554.26682005779
2022-01-05,598.829,600.68,588.648,596.052,307.92601114322
2022-01-07,596.052,596.978,590.499,596.978,128.5726151791
2022-01-10,596.978,606.233,593.275,593.275,229.05373460478
2022-01-11,596.978,612.712,590.499,603.457,2407.2250976389
2022-01-12,616.415,616.415,590.499,598.829,676.35678237071
2022-01-13,597.903,600.68,578.467,582.169,21713.645775246
2022-01-14,589.574,590.499,579.393,582.169,74.550507960989
2022-01-17,579.393,594.201,579.393,581.244,589.92141082174
2022-01-18,583.095,584.946,569.211,577.541,794.12497610619
2022-01-19,573.839,573.839,568.286,573.839,235.53638747095
2022-01-20,578.467,582.169,537.742,546.998,861.11238905664
2022-01-21,547.924,594.201,547.924,565.509,828.69912472578
2022-01-24,564.583,574.765,547.924,559.956,689.32208810306
2022-01-25,564.583,572.913,564.583,564.583,1100.970545105
2022-01-26,564.583,574.765,564.583,569.211,3296.4289824489
2022-01-27,569.211,569.211,559.031,560.882,168.5489745205
2022-01-28,562.733,571.062,552.552,561.807,419.21155201252
2022-01-31,570.137,570.137,559.956,563.658,609.36936942026
2022-02-01,575.69,592.35,575.69,591.424,245.26036677021
2022-02-02,599.754,599.754,590.499,590.499,251.74301963638
2022-02-03,588.648,597.903,587.723,590.499,1917.7848062428
2022-02-04,596.052,596.052,583.095,592.35,114.52686730239
2022-02-07,597.903,597.903,584.02,594.201,108.04421443622
2022-02-08,594.201,609.01,586.797,606.233,5599.9316342291
2022-02-09,609.01,634,609.01,624.744,7557.6927998133
2022-02-10,625.67,628.446,622.893,624.744,2542.2803656842
2022-02-11,624.744,625.67,615.489,619.191,943.22599202816
2022-02-14,610.861,658.064,588.648,631.223,1104.2118715381
2022-02-15,664.543,665.469,632.149,646.957,1925.3479012534
2022-02-16,634.925,636.777,592.35,594.201,3153.8106193931
2022-02-17,602.531,616.415,589.574,599.754,3269.4179288399
2022-02-18,598.829,603.457,588.648,590.499,192.31870169646
2022-02-21,600.68,621.042,575.69,587.723,490.52073354042
2022-02-22,573.839,595.126,537.742,592.35,1576.3650886244
2022-02-23,609.01,609.01,571.988,572.913,209.60577600626
2022-02-24,546.073,546.073,491.465,515.529,2512.027985642
2022-02-25,519.232,558.105,519.232,526.636,1045.8679957426
2022-02-28,517.381,532.19,497.019,530.339,1263.0368667594
2022-03-01,536.817,569.211,515.529,515.529,1025.3395949997
2022-03-02,528.488,529.413,507.2,509.05,393.28094054783
2022-03-03,509.05,559.031,502.572,559.031,960.51306633796
2022-03-04,555.328,559.956,509.05,509.05,870.8363683559
2022-03-07,515.529,533.115,488.689,488.689,3958.740016943
2022-03-08,487.763,490.54,472.029,475.731,5508.0940519583
2022-03-09,476.657,507.2,476.657,507.2,988.60456209138
2022-03-10,507.2,507.2,497.944,502.572,1264.1173089037
2022-03-11,502.572,507.2,499.796,503.498,1722.2247781133
2022-03-14,503.498,504.423,498.87,501.647,1628.2263115538
2022-03-15,497.944,499.796,488.689,499.796,5931.6273725483
2022-03-16,497.019,517.381,497.019,515.529,415.97022557943
2022-03-17,531.264,544.221,529.413,542.37,230.13417674914
2022-03-18,541.445,546.073,532.19,546.073,1253.3128874601
2022-03-21,554.403,554.403,537.742,540.519,327.37396974173
2022-03-22,543.296,552.552,527.562,527.562,130.73349946782
2022-03-23,517.381,546.073,509.05,527.562,304.68468471013
2022-03-24,540.519,543.296,524.785,535.891,33.493706475227
2022-03-25,542.37,546.073,539.594,546.073,681.75899309252
2022-03-28,551.626,559.956,536.817,536.817,341.41971761844
2022-03-29,541.445,558.105,530.339,530.339,632.05865445186
2022-03-30,537.742,551.626,531.264,540.519,489.44029139606
2022-03-31,553.477,567.36,542.37,559.956,706.60916241285
2022-04-01,569.211,584.02,562.733,580.318,806.00983969417
2022-04-04,583.095,638.628,583.095,598.829,1145.2686730239
2022-04-05,601.605,615.489,593.275,598.829,338.17839118536
2022-04-06,598.829,601.605,580.318,580.318,686.08076166997
2022-04-07,592.35,597.903,573.839,573.839,975.63925635903
2022-04-08,573.839,598.829,571.988,588.648,2727.0359723701
2022-04-11,596.052,598.829,587.723,594.201,74.550507960989
2022-04-12,596.052,601.605,583.095,594.201,73.470065816627
2022-04-13,599.754,601.605,592.35,592.35,190.15781740774
2022-04-14,592.35,601.605,590.499,590.499,20.528400742881
2022-04-19,601.605,601.605,571.988,583.095,1751.3967160111
2022-04-20,583.095,583.095,566.434,566.434,179.35339596412
2022-04-21,546.073,566.434,536.817,564.583,520.77311358256
2022-04-22,562.733,562.733,546.073,546.073,143.69880520017
2022-04-25,547.924,559.031,531.264,531.264,378.15475052676
