Date,Open,High,Low,Close,Volume
2022-01-03,2.17043,2.25081,2.13754,2.2289,1597467.0759434
2022-01-04,2.2289,2.25447,2.16312,2.19235,592066.56148995
2022-01-05,2.19235,2.19601,2.17774,2.1887,349568.22295744
2022-01-07,2.19601,2.19601,2.18505,2.19235,420942.21620581
2022-01-10,2.19235,2.25081,2.17774,2.19235,458916.48117707
2022-01-11,2.19235,2.19966,2.17043,2.19235,257584.86771374
2022-01-12,2.19235,2.20331,2.17409,2.19235,495850.7677195
2022-01-13,2.52851,2.64544,2.48467,2.48467,4400130.9432281
2022-01-14,2.48467,2.52486,2.48467,2.52486,170189.73309088
2022-01-17,2.52851,2.56505,2.49928,2.56505,316919.74225587
2022-01-18,2.54678,2.56871,2.54313,2.56871,162867.46391638
2022-01-19,2.55044,2.5541,2.52851,2.52851,1620891.2216598
2022-01-20,2.52851,2.54313,2.50294,2.51389,280765.43953505
2022-01-21,2.49928,2.49928,2.47005,2.48467,254200.83264206
2022-01-24,2.47735,2.49197,2.47735,2.49197,284598.30740231
2022-01-25,2.48467,2.48832,2.45544,2.45544,486776.95592807
2022-01-26,2.45544,2.48101,2.4189,2.4189,245636.06292369
2022-01-27,2.4189,2.44813,2.41525,2.4262,164850.26489449
2022-01-28,2.44447,2.49197,2.44447,2.44813,216212.88374412
2022-01-31,2.45909,2.54313,2.45909,2.4664,267927.17950982
2022-02-01,2.47735,2.50659,2.4664,2.47735,247024.98148322
2022-02-02,2.47735,2.52121,2.47735,2.52121,176889.38360073
2022-02-03,2.49197,2.50294,2.48101,2.48467,61537.98674002
2022-02-04,2.48467,2.49928,2.47735,2.48467,143768.8074282
2022-02-07,2.50294,2.53583,2.49197,2.53583,108534.06458128
2022-02-08,2.55774,2.59063,2.55774,2.59063,206937.91823026
2022-02-09,2.59063,2.6162,2.57967,2.6089,200699.41605002
2022-02-10,2.75871,2.77699,2.60159,2.71852,2622149.6115026
2022-02-11,2.72583,2.73314,2.63814,2.64544,350498.72997269
2022-02-14,2.62717,2.64179,2.54678,2.57967,154876.05072651
2022-02-15,2.64544,2.66005,2.58332,2.62717,86593.256518539
2022-02-16,2.92314,2.99621,2.85006,2.86833,1055706.7341621
2022-02-17,2.89025,2.89025,2.81352,2.86468,146449.48866774
2022-02-18,2.86468,2.86468,2.82083,2.86468,198021.47159581
2022-02-21,2.85006,2.85371,2.81352,2.81352,231221.41454317
2022-02-22,2.81352,2.90487,2.71121,2.74045,497178.10860891
2022-02-23,2.71852,2.74045,2.52486,2.53583,548299.89034872
2022-02-24,2.19235,2.26543,1.97312,2.01696,911003.31454066
2022-02-25,2.03523,2.19235,2.02427,2.15215,384993.17238542
2022-02-28,2.08273,2.1485,2.06446,2.14121,99368.570480978
2022-03-01,2.14121,2.15947,2.11927,2.11927,157258.42236412
2022-03-02,2.11927,2.3312,2.06446,2.3312,168949.9693323
2022-03-03,2.35313,2.40428,2.26543,2.291,303356.23411579
2022-03-04,2.291,2.3239,2.14121,2.14121,191249.29627446
2022-03-07,2.25812,2.25812,1.9987,2.03889,1241957.2920149
2022-03-08,2.11197,2.12659,2.03523,2.04255,272002.25287958
2022-03-09,2.0535,2.11562,2.03889,2.0535,376113.67235303
2022-03-10,2.06081,2.15215,2.0462,2.08273,417916.70001355
2022-03-11,2.10831,2.18139,2.06812,2.18139,62029.239708371
2022-03-14,2.18505,2.18505,2.13024,2.18505,1135975.2797622
2022-03-15,2.18505,2.26543,2.18505,2.25812,113650.48477253
2022-03-16,2.27274,2.3239,2.26178,2.30197,274892.29819756
2022-03-17,2.29466,2.31659,2.27639,2.29832,88582.89945999
2022-03-18,2.28735,2.30928,2.22525,2.30928,275228.92279426
2022-03-21,2.29832,2.30928,2.25812,2.26543,282545.71839807
2022-03-22,2.26178,2.26543,2.21428,2.22158,87165.24465439
2022-03-23,2.26543,2.2837,2.22158,2.24351,1737143.020897
2022-03-24,2.25447,2.38966,2.25447,2.36775,489041.64579608
2022-03-25,2.39698,2.45544,2.38966,2.44082,94289.096891799
2022-03-28,2.47005,2.54313,2.43351,2.54313,134512.99941171
2022-03-29,2.54313,2.55774,2.51389,2.51389,187168.74933402
2022-03-30,2.53948,2.5541,2.48467,2.48832,128160.9206399
2022-03-31,2.55044,2.55044,2.37504,2.4189,128611.12182817
2022-04-01,2.48467,2.48467,2.4189,2.45544,59958.861599419
2022-04-04,2.45544,2.48467,2.44447,2.45909,579842.70977332
2022-04-05,2.46274,2.46274,2.44813,2.45544,148384.39590242
2022-04-06,2.45544,2.45544,2.36043,2.36775,73501.843849446
2022-04-07,2.4189,2.45179,2.33851,2.4262,294482.2076541
2022-04-08,2.4262,2.45909,2.34947,2.41159,50471.795221785
2022-04-11,2.34947,2.40794,2.34947,2.40794,18392.565870731
2022-04-12,2.37504,2.4189,2.36043,2.41159,15257.578264909
2022-04-13,2.36043,2.39698,2.31659,2.35678,44226.451078194
2022-04-14,2.33851,2.33851,2.28735,2.33851,39327.605321388
2022-04-19,2.33851,2.33851,2.28735,2.28735,71948.718169565
2022-04-20,2.55044,2.73314,2.45179,2.45544,600681.96173712
2022-04-21,2.46274,2.50659,2.44813,2.49197,92826.285128105
2022-04-22,2.49197,2.49197,2.43351,2.43351,98572.165947329
2022-04-25,2.43351,2.44813,2.3714,2.43351,69637.502950782
2022-04-26,2.50294,2.50294,2.4262,2.46274,54995.701387148
2022-04-27,2.49197,2.52121,2.39332,2.52121,68702.890757515
2022-04-28,2.51025,2.53583,2.48832,2.53583,68080.272092892
