Date,Open,High,Low,Close,Volume
2022-01-03,35.1,36.35,35.1,35.4,817655
2022-01-04,35.7,35.7,34.4,35.46,600686
2022-01-05,35.67,36.64,35.31,36.54,596848
2022-01-07,36.5,38.47,35.62,38.34,1019621
2022-01-10,39.3,40.1,37.62,38.31,1017877
2022-01-11,38.9,39.6,37.83,39.6,680467
2022-01-12,40,40.98,39.7,40.75,1029840
2022-01-13,40.5,41.23,40.15,40.4,697172
2022-01-14,40,40.7,39.62,40.01,646932
2022-01-17,41.5,42.7,40.72,41.53,1997867
2022-01-18,41.5,41.65,39.98,40.2,789469
2022-01-19,39.4,41.28,38.82,40.96,1027560
2022-01-20,40.97,41.58,39.62,40.3,460061
2022-01-21,39.4,39.86,38.1,38.65,782732
2022-01-24,38.2,39.29,33.88,34.4,2339876
2022-01-25,35.35,36,33.46,35.45,1699345
2022-01-26,35.99,38.37,35.9,37.8,1567051
2022-01-27,37,40,36.81,39.83,1330644
2022-01-28,39.98,40.43,38.77,40.3,943908
2022-01-31,40.96,42.5,39.55,39.55,1774601
2022-02-01,40,42.12,39.02,42.04,939019
2022-02-02,42.74,47.6,42.5,46.96,3355963
2022-02-03,46.5,47.28,44.61,44.85,1423080
2022-02-04,44.9,45.84,43.03,44.95,1225751
2022-02-07,45.72,46.39,44.57,45.53,620659
2022-02-08,45.23,45.99,44.67,45.98,599283
2022-02-09,46.5,48.8,46.49,48.8,1189562
2022-02-10,48.95,50.26,47.47,48.8,982460
2022-02-11,47.5,48.9,46.33,48.31,818747
2022-02-14,46.28,47.69,44.75,45.47,1393123
2022-02-15,45.7,48.89,45.5,48,1068805
2022-02-16,49,49.75,46.82,47.01,940079
2022-02-17,47.33,47.51,44.05,44.55,1122726
2022-02-18,44.5,45.71,43.46,44.52,758269
2022-02-21,45.5,45.9,40.95,41.85,1676518
2022-02-22,40.43,45.69,40.2,45.18,1575350
2022-02-23,46,47.3,43.8,44.09,1254292
2022-02-24,40,43.15,36.51,38.07,3282223
2022-02-25,41.5,42.27,39.5,41.8,1909169
2022-02-28,41.8,51.5,41.26,49.22,4272692
2022-03-01,54,55.92,50.48,54,3266171
2022-03-02,56.1,70.9,55.62,70.9,6227989
2022-03-03,77.88,77.98,61.2,67.7,6386768
2022-03-04,69.48,75.48,65.9,71.6,4643027
2022-03-07,75,83.96,66.84,71.4,6183844
2022-03-08,72.9,74.2,65.54,70.22,3193281
2022-03-09,72,72.8,63,64,2126797
2022-03-10,63.34,70.6,61.7,68.38,2001649
2022-03-11,70,71.52,66.32,70.5,1492471
2022-03-14,71,71.32,67.06,67.06,1028861
2022-03-15,66.8,67.3,63.52,67.28,1372306
2022-03-16,67.78,68.9,64.02,64.02,1146476
2022-03-17,65,72.28,63.62,72.28,1930096
2022-03-18,72.5,73.8,69.54,69.8,2346117
2022-03-21,70.7,72.3,69.78,71.4,899379
2022-03-22,71,75.48,70.36,74.5,1442279
2022-03-23,74.8,77.94,73.6,75.98,1345233
2022-03-24,75.9,77.3,73.4,76.84,967281
2022-03-25,75.92,77.7,74.6,75.24,931726
2022-03-28,74.9,78.8,74.34,78.58,1419011
2022-03-29,79.5,79.74,71.6,75.04,2730279
2022-03-30,76.94,79.8,76.16,79,1917379
2022-03-31,77.6,79.4,77,77.8,949634
2022-04-01,77.9,78.28,76,77,691261
2022-04-04,77,77,71.9,71.9,1779418
2022-04-05,71.9,74.8,69.54,72.5,2275649
2022-04-06,71.5,72.5,67.74,67.96,1618676
2022-04-07,68.14,70.08,65.88,66.8,1171657
2022-04-08,68.8,69.46,66.8,68.98,657535
2022-04-11,68.06,71.2,67.4,71.04,936123
2022-04-12,70.5,71.74,69.3,70.78,1041305
2022-04-13,72,72.4,70.08,70.92,574281
2022-04-14,71.38,74.92,71.38,74.5,1184865
2022-04-19,74.38,74.88,70.1,71.22,951067
2022-04-20,68.5,71.12,67.66,68.9,872702
2022-04-21,68.9,69.8,65.84,69.02,1203407
2022-04-22,67.42,67.9,64.22,64.34,1078388
2022-04-25,61,64.8,59,63.86,1559901
2022-04-26,64.34,67.46,63.68,65.22,997408
2022-04-27,66.06,69.1,65.4,66.72,836504
2022-04-28,67.64,70,66.86,69.9,809981
2022-04-29,71,71.44,67.62,67.62,568669
2022-05-02,66.72,67.8,65.02,66.54,365932
2022-05-04,66.22,69.6,66.22,69.6,492378
2022-05-05,71,71.1,63.44,63.44,1045033
