Date,Open,High,Low,Close,Volume
2022-01-03,288.379,291.221,283.585,285.187,41383.69280341
2022-01-04,285.714,301.864,285.714,297.431,67110.063541751
2022-01-05,299.911,304.344,295.83,299.735,41758.621431979
2022-01-07,299.735,299.911,284.122,290.86,47315.560730898
2022-01-10,292.813,294.229,281.632,286.603,46984.932026744
2022-01-11,290.147,299.198,285.363,294.589,55868.687600479
2022-01-12,296.367,308.075,295.118,301.689,43207.553106069
2022-01-13,303.465,305.594,297.431,301.689,27542.667639272
2022-01-14,303.993,307.01,295.654,303.465,45724.004909917
2022-01-17,303.465,306.122,300.448,303.993,6700.0934459661
2022-01-18,301.864,305.233,300.8,303.465,14922.591611392
2022-01-19,300.8,318.191,299.198,311.444,32056.937985545
2022-01-20,311.267,311.267,301.689,311.267,28874.906829543
2022-01-21,305.594,308.787,301.689,304.344,30674.996441054
2022-01-24,299.023,308.611,283.233,292.813,72812.868445445
2022-01-25,292.813,295.118,285.714,291.221,46171.32609789
2022-01-26,291.397,297.958,289.268,292.285,27389.238632768
2022-01-27,288.204,294.589,287.139,291.036,11389.40251797
2022-01-28,289.796,291.573,282.872,287.491,19040.323609871
2022-01-31,289.796,296.894,287.491,290.86,23020.833891268
2022-02-01,290.147,291.036,284.298,284.65,33060.709443585
2022-02-02,285.002,295.302,285.002,291.221,44463.07779309
2022-02-03,290.86,290.86,279.504,281.457,40258.906917706
2022-02-04,279.68,283.049,270.804,271.869,46803.410385246
2022-02-07,273.294,283.049,270.989,278.616,37848.342738065
2022-02-08,278.616,286.251,275.774,279.504,43124.35568705
2022-02-09,278.616,282.521,267.972,267.972,59179.296585875
2022-02-10,271.341,277.551,268.148,269.564,36440.469530503
2022-02-11,270.452,276.838,269.212,276.838,37707.879563097
2022-02-14,270.989,273.821,259.096,259.624,44697.54324669
2022-02-15,260.16,271.516,260.16,271.516,25619.402628173
2022-02-16,271.516,277.023,266.547,271.516,28405.975922343
2022-02-17,268.861,280.217,267.083,273.294,50096.731595262
2022-02-18,271.516,274.534,251.461,258.032,69106.801598217
2022-02-21,257.495,272.229,252.349,256.968,34706.289562631
2022-02-22,250.397,250.397,240.642,243.122,96160.009097023
2022-02-23,244.9,252.886,243.483,248.443,96513.328006366
2022-02-24,230.702,239.578,216.505,230.702,133187.18250451
2022-02-25,228.037,245.427,228.037,241.882,55461.344393072
2022-02-28,231.59,236.56,226.796,232.303,65569.29056095
2022-03-01,232.303,240.994,231.942,235.135,25468.134593593
2022-03-02,228.749,234.959,224.667,228.037,34920.225782966
2022-03-03,227.685,236.912,225.204,229.989,38444.770988699
2022-03-04,225.204,233.182,218.457,225.907,61758.416575477
2022-03-07,222.002,223.252,208.693,212.96,60771.932892818
2022-03-08,217.218,221.827,212.072,216.328,67356.414340925
2022-03-09,217.745,239.217,217.393,239.217,46037.345838691
2022-03-10,244.01,246.676,230.702,232.83,73550.840357007
2022-03-11,237.976,240.818,230.702,230.702,49556.488614616
2022-03-14,241.345,241.345,231.239,233.719,32517.225005056
2022-03-15,230.526,235.135,228.398,228.398,34647.943320722
2022-03-16,234.783,257.32,234.432,256.255,151358.7954015
2022-03-17,258.208,264.955,247.565,262.114,113928.60073046
2022-03-18,263.53,263.705,248.629,263.705,87982.891341972
2022-03-21,260.689,270.276,260.689,269.74,67956.084049442
2022-03-22,269.925,273.294,265.482,269.74,34625.253115534
2022-03-23,274.007,274.007,268.148,268.861,34497.755772102
2022-03-24,270.804,285.187,270.276,279.504,112345.68879716
2022-03-25,282.697,282.872,273.47,278.792,68577.363477184
2022-03-28,279.68,283.233,275.422,275.422,37565.255416207
2022-03-29,275.598,282.872,265.131,278.44,53591.023194077
2022-03-30,276.838,277.551,269.037,273.294,40357.231140184
2022-03-31,267.972,276.838,263.53,276.838,88861.326428502
2022-04-01,276.838,277.023,269.74,271.516,27590.209021569
2022-04-04,271.516,273.294,269.564,269.564,45789.914553555
2022-04-05,269.74,271.516,264.594,266.195,29600.993395531
2022-04-06,266.37,269.037,261.049,261.401,43689.449844806
2022-04-07,259.985,262.29,256.08,256.255,55645.027006491
2022-04-08,257.144,263.53,257.144,263.354,43598.689024057
2022-04-11,263.354,271.516,259.809,259.809,42241.598656676
2022-04-12,259.624,266.195,257.856,261.401,37800.801355769
2022-04-13,261.761,263.354,250.581,253.775,28198.522617775
2022-04-14,256.431,259.096,248.629,258.208,24598.343394753
2022-04-19,261.761,280.217,252.886,279.504,112952.92190741
2022-04-20,281.169,283.021,273.211,274.506,84736.031028293
2022-04-21,279.504,279.504,264.881,266.732,43540.342782147
2022-04-22,266.176,266.547,259.142,259.142,17241.314484322
2022-04-25,258.218,258.402,248.407,254.515,43411.764952754
2022-04-26,254.515,257.292,249.888,251.369,25535.124723192
2022-04-27,250.072,250.258,240.632,240.632,40547.396669371
2022-04-28,241.187,250.443,241.187,247.111,34576.631247277
2022-04-29,250.628,256.181,234.339,236.005,53219.336023393
2022-05-02,237.856,237.856,223.048,224.899,28935.414043375
2022-05-04,230.081,230.637,219.346,229.341,36100.116452697
2022-05-05,236.005,236.005,224.714,225.825,30253.606916151
2022-05-06,225.825,225.825,215.459,223.973,45711.039078381
2022-05-09,223.973,226.75,219.531,220.827,20671.857411421
2022-05-10,221.012,221.012,212.867,214.903,49582.420277687
2022-05-11,214.903,218.05,210.09,213.978,31199.032132281
2022-05-12,212.867,213.238,204.167,210.276,61547.721813024
2022-05-13,211.571,225.639,211.571,225.454,18185.659214491
2022-05-16,226.75,227.861,217.31,218.791,28555.082985001
2022-05-17,220.272,231.933,219.901,231.377,24246.104971372
2022-05-18,233.229,233.229,224.528,226.38,29122.338114679
2022-05-19,226.009,226.009,215.459,223.233,17659.462551342
2022-05-20,223.973,227.12,217.865,217.865,20628.637972969
2022-05-23,224.899,235.634,219.901,235.45,31326.529475713
2022-05-24,234.894,240.077,229.897,236.746,39485.278969422
2022-05-25,239.337,247.481,235.079,245.63,45763.982890485
2022-05-26,248.407,248.407,243.78,246,22424.405640636
2022-05-27,247.111,248.962,243.039,245.816,22527.051806958
2022-05-30,246.185,253.034,243.409,252.664,10540.140552395
2022-05-31,252.664,257.106,250.072,253.22,21463.853621048
2022-06-01,253.589,255.07,243.964,244.149,35329.729962297
2022-06-02,248.036,248.036,241.003,244.149,8896.7214052708
2022-06-03,245.26,248.962,240.447,240.818,6918.3516101469
2022-06-06,241.558,247.852,236.19,247.852,8850.2605089353
2022-06-07,247.666,247.666,240.632,245.445,8851.3409948966
2022-06-08,241.558,242.299,237.856,239.892,32650.124778295
2022-06-09,236.93,242.299,233.414,233.414,10829.710790021
2022-06-10,233.414,233.414,224.528,226.75,10971.25445095
2022-06-13,222.122,224.528,218.236,221.197,26818.742045206
2022-06-14,223.973,223.973,218.605,220.086,18529.253750181
2022-06-15,218.42,221.012,211.386,214.348,23513.535489616
2022-06-17,212.126,215.829,209.165,211.757,35917.514325238
2022-06-20,211.016,219.901,210.09,218.42,15997.675142876
2022-06-21,219.346,223.973,216.569,222.122,12056.062356086
2022-06-22,222.863,222.863,214.719,220.272,15751.324343702
2022-06-23,222.122,223.788,215.643,215.643,14926.913555237
2022-06-24,215.643,228.045,215.643,226.75,20332.584819576
2022-06-27,230.452,233.229,226.564,229.897,24215.851364456
2022-06-28,229.526,231.192,224.158,225.825,22256.930316635
2022-06-29,226.75,228.416,223.973,227.305,17509.275002723
2022-06-30,227.305,227.305,216.939,221.567,22343.369193538
